Date,Open,High,Low,Close,Volume,Adj Close
18/07/2001,106.1,107.6,103.2,104.28,11670300,88.4
19/07/2001,105.6,106,103.1,104,13644500,88.16
20/07/2001,103.4,105.7,103.03,105.7,8991700,89.6
23/07/2001,105.7,106.95,105.3,105.85,6315700,89.73
24/07/2001,104.85,106.15,103.79,104.51,7299800,88.59
25/07/2001,104.5,105.7,102.73,104.89,6247600,88.92
26/07/2001,104.75,106,102.93,106,8428700,89.86
27/07/2001,104.75,105.95,104.11,104.7,4346500,88.75
30/07/2001,104.9,106.25,104.76,105.85,4030800,89.73
31/07/2001,105.9,107,105.15,105.21,5603000,89.19
01/08/2001,105.35,108.5,105.31,107.06,6036100,90.76
02/08/2001,108.5,109.47,107.21,108.8,5675100,92.23
03/08/2001,107.8,110.09,107.1,108.18,3704100,91.7
06/08/2001,107.25,107.37,105.79,106.51,4176800,90.29
07/08/2001,105.8,107.37,105.26,106.25,4029300,90.07
08/08/2001,105,106.1,104.1,104.19,6398000,88.44
09/08/2001,103.7,104.54,102.7,104.08,6763200,88.35
10/08/2001,103.85,104.95,102.81,104.95,5254800,89.08
13/08/2001,105,106.64,104.65,105.86,6024400,89.86
14/08/2001,106.5,106.85,105.4,106.2,5730200,90.14
15/08/2001,106.35,106.59,105.01,105.01,4712900,89.13
16/08/2001,104.2,106.02,103.66,105.75,6215200,89.76
17/08/2001,105.49,105.49,103.9,104.59,7006200,88.78
20/08/2001,104.68,105,102.8,104.1,5612700,88.36
21/08/2001,103.85,104.97,101.4,101.89,6515900,86.49
22/08/2001,102.5,104.04,101.76,103.96,8029000,88.24
23/08/2001,104,104.7,103,103,5474300,87.43
24/08/2001,103.95,107.8,103.41,106.99,7711900,90.82
27/08/2001,106.99,108.2,106.64,106.86,4540900,90.71
28/08/2001,106.9,107.17,104.87,104.95,5808100,89.08
29/08/2001,105.75,105.9,103.82,104.13,4840300,88.39
30/08/2001,102.75,103.4,98.86,100.36,15015500,85.19
31/08/2001,101,101.36,99.24,99.95,8126600,84.84
04/09/2001,100.15,103.13,99.29,101.49,9891800,86.15
05/09/2001,101.5,102.83,99.61,100.35,11880700,85.18
06/09/2001,100.68,100.68,97.65,98,9043100,83.18
07/09/2001,97.9,98.15,96,96.59,10507000,81.99
10/09/2001,96,97.4,95.59,96.47,10311500,81.89
17/09/2001,93.9,95.86,92.55,93.34,15132800,79.23
18/09/2001,94,96.75,93.68,96.4,12305000,81.83
19/09/2001,96.4,96.85,92.45,96,14883500,81.49
20/09/2001,94.1,95.75,92.85,93.4,15182900,79.28
21/09/2001,90.6,93.5,89.5,90.5,18364700,76.82
24/09/2001,91.8,95.54,91.8,94.8,11201800,80.47
25/09/2001,94.1,96,93.41,94.45,12575100,80.17
26/09/2001,94.45,94.45,90.3,91.3,13783100,77.5
27/09/2001,91.3,91.5,87.49,90,13172300,76.39
28/09/2001,90.2,92.71,89.9,91.72,11077200,77.85
01/10/2001,91.72,93.48,91.34,92.71,8676200,78.69
02/10/2001,92.3,93.9,92.1,93.77,7221200,79.59
03/10/2001,92.9,97.62,92.4,96.95,11117000,82.29
04/10/2001,97.15,98.88,96.8,97.31,9785100,82.6
05/10/2001,96.65,98.45,95.37,98.02,9708200,83.2
08/10/2001,98.03,99,96.75,98.5,7093400,83.61
09/10/2001,98.5,98.5,96.76,97.14,7525300,82.45
10/10/2001,95,97.3,94.9,97.25,10636900,82.55
11/10/2001,97.7,99.4,96.5,99.4,11501600,84.37
12/10/2001,98.7,101,98,100.84,11501200,85.6
15/10/2001,99.85,102.76,99.85,102,10204200,86.58
16/10/2001,101.87,103,99.66,101.85,11946000,86.45
17/10/2001,106.3,106.7,102.9,102.9,18920500,87.34
18/10/2001,103.05,103.75,100.78,101.26,10694900,85.95
19/10/2001,101.65,102.74,100.07,102.65,11771900,87.13
22/10/2001,102.65,105.78,101.9,105.25,7623900,89.34
23/10/2001,105.75,106.69,104.55,105.81,7429300,89.81
24/10/2001,106.5,108.75,106.09,108.57,8293200,92.16
25/10/2001,108.05,110.85,106.75,110.66,9683400,93.93
26/10/2001,110,112.1,109.62,111.16,10142500,94.36
29/10/2001,110.5,110.7,108.62,108.62,7072800,92.2
30/10/2001,107.8,109.75,107.76,108.65,8625100,92.22
31/10/2001,109.6,111.12,108.07,108.07,7177700,91.73
01/11/2001,107.25,110.17,106.9,109.89,8024000,93.28
02/11/2001,109.15,110.3,108.77,109.5,6216900,92.95
05/11/2001,109.95,110.59,109.08,109.97,5708500,93.35
06/11/2001,109.6,114.8,109,113.61,8509700,96.43
07/11/2001,113.05,115.2,113.03,113.85,10129700,96.76
08/11/2001,113.96,115.56,113.61,113.81,7991200,96.72
09/11/2001,113.1,114.9,113.1,114.08,5045900,96.95
12/11/2001,113,114.9,112.05,114.86,5608400,97.62
13/11/2001,115.7,117,115.7,116.7,9216700,99.18
14/11/2001,116.7,116.85,113.33,114.35,8091700,97.18
15/11/2001,114.1,116.33,113.84,114.75,7013800,97.52
16/11/2001,115,115,112.55,114.5,6661500,97.31
19/11/2001,114.7,115.8,113.77,115,4931300,97.74
20/11/2001,114.35,116.8,114.25,115.44,6452200,98.11
21/11/2001,114.95,115.25,113.05,114.34,4184700,97.17
23/11/2001,114.29,115.37,113.72,115.35,1714000,98.03
26/11/2001,115.9,116.4,115.2,116.33,4854300,98.87
27/11/2001,116.25,116.3,114.07,114.2,6894100,97.06
28/11/2001,999,114.38,112.1,112.15,6161200,95.31
29/11/2001,112.9,114.55,111.81,114.43,6128700,97.25
30/11/2001,114.43,115.94,113.8,115.59,5597800,98.24
03/12/2001,114.8,114.85,113.21,114.13,5785800,97
04/12/2001,114.3,116.72,113.38,116.64,6585900,99.13
05/12/2001,116.85,121.98,116.65,121.4,14646200,103.17
06/12/2001,120.5,121.7,119.8,120.14,11225700,102.1
07/12/2001,119.5,121,118.75,120.4,6889200,102.32
10/12/2001,120,121,119.41,119.66,5570900,101.7
11/12/2001,120.4,122.74,119.8,121.5,7793200,103.26
12/12/2001,121.12,123.21,120.06,123.2,7977900,104.7
13/12/2001,121.55,122.3,120.12,120.25,8061000,102.2
14/12/2001,120.8,121.48,119.41,121.1,7036000,102.92
